SMIELS,name
CN(Cc1ccncc1)c1nc(-c2cccc(NC(=O)Nc3cccc(C(F)(F)F)c3)c2)cn2ccnc12,ZINC000003820082
COc1ccc(Cl)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,ZINC000035873616
COc1ccc(C)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,ZINC000049033576
NC(=O)c1c(N)n(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)c2nc3ccccc3nc12,ZINC000098209331
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cc(Cl)ccc1Cl,ZINC000049032729
O=C(Nc1cccc(-c2cn3ccnc3c(OCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,ZINC000038228533
COc1ccc(C#N)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,ZINC000049031575
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cc(Cl)ccc1Oc1ccccc1,ZINC000049777522
O=C(Nc1cccc(-c2cn3ccnc3c(NCCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,ZINC000038218332
Cc1cn(-c2cc(C(=O)Nc3ccc(C)c(-n4c(N)c(C(N)=O)c5nc6ccccc6nc54)c3)cc(C(F)(F)F)c2)cn1,ZINC000299832220
COc1cc(OC)c(NC(=O)Nc2cccc(-c3cn4ccnc4c(NCc4ccncc4)n3)c2)cc1Br,ZINC000049785901
CCOc1cc(OCC)c(C(F)(F)F)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,ZINC000014209437
COCCN(c1ccnc(Nc2cccc(S(C)(=O)=O)c2)n1)c1c(Cl)ccc2c1OCO2,ZINC000064528038
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCCCC1,ZINC000008581925
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(-n4c(N)c(C(N)=O)c5nc6ccccc6nc54)c3)cc(C(F)(F)F)c2)cn1,ZINC000299828346
CN(C)[C@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(C#Cc3cnc(N)nc3)ccc2F)C1,ZINC000014957158
COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCCCN1CCCCC1,ZINC000003938356
CC(C)n1nc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c2c(N)ncnc21,ZINC000064564517
COc1cc(OC)c(NC(=O)Nc2cccc(-c3cn4ccnc4c(NCc4ccncc4)n3)c2)cc1Cl,ZINC000049785543
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,ZINC000000016978
COc1cc(OC)c(C(F)(F)F)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,ZINC000049694989
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cc(Cl)c(Cl)cc1Cl,ZINC000049792637
NC(=O)c1c(N)n(-c2ccc(NC(=S)Nc3cccc(C(F)(F)F)c3)cc2)c2nc3ccccc3nc12,ZINC000299832175
CCN1CCC(Nc2ccc3c(c2)/C(=C(\c2ccccc2)c2nc4ccc(OC)cc4[nH]2)C(=O)N3)CC1,ZINC000084690881
CCN1CCC(Nc2ccc3c(c2)/C(=C(/c2ccccc2)c2nc4ccc(OC)cc4[nH]2)C(=O)N3)CC1,ZINC000084690882
Clc1ccc2c(Nc3ccc(-c4nc5ccccc5s4)c(Cl)c3)ncnc2c1,ZINC000040402210
c1cc(Nc2ncnc3[nH]cnc23)cc(-c2nc3ccccc3s2)c1,ZINC000040977205
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1ccc(F)c(C(F)(F)F)c1,ZINC000049792538
CC(C)(C)OC(=O)n1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,ZINC000064553673
CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4c(Cl)c[nH]c34)n2)c1,ZINC000064527372
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,ZINC000013493055
Fc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2cc(Cl)ccc12,ZINC000040915087
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,ZINC000049777183
CCN1CCC(Nc2ccc3c(c2)/C(=C(/c2ccc(Cl)cc2)c2ncc[nH]2)C(=O)N3)CC1,ZINC000084742458
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,ZINC000003872446
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1ccc(Cl)cc1Cl,ZINC000049033606
O=C(NCc1cccc(C(F)(F)F)c1)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,ZINC000049090034
O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1ccc(Cl)c(Cl)c1,ZINC000049032701
